당장 오늘 교회 다 폐쇠 시켜라 병원 처럼 필수 아닌데 굳이 열어 두는 이유 뭐	FALSE
진짜 욕 안 할 래야 안 할수가 없다 협조 똑바로 하던가 저 분들 부모 형제 자식 손주 들 없이 혼자 세 상사 분 들 봅니다 이 기 적임 하늘 찌르네 치료 비 개인 부담 하 하게 하 거나 그것 안 하겠다면 그 잘난 교회 안 다 몰아 가둬 두세요 하느님 고쳐 준다하니 거기 기도 하시라	FALSE
전광훈 악마 저 웃는 꼬 보소 구상권 청구 해 일부러 정부 방역 대항 하려고 애 쓰더니 만족한 웃음 좀 봐라 징그럽다	FALSE
전 국민 고소해서 교회 전광훈 전 재산 다 벌금 및 합의금 탈탈 털어 버리고 영원히 일어서지못하게 매장 시켜 버리자 포항 주년 파주 주놈 다	FALSE
하여간 교회 문제	FALSE
저 목사 진심 주님 곁 당장 가시길	FALSE
우리나라 기독교인 몇 이 더	FALSE
왜 예수 안 지켜주냐 배신 땡긴 겨 등 신 덜	FALSE
ㅋㅋㅋㅋㅋ 아니 몬소리 코로나 다 위험하지 이 휴	FALSE
개 소리 작작 지껄여라 똑같이 위험하지 워딩가지 장난 질하지마라	FALSE
틀 테러리스트 간첩 수준 거의 광우병 시위 주 동자 수준	FALSE
지하철 술집 카페 식당 휴 가지 안 걸리는 코로나 광화문 집회 나가고 교회 가면 걸린다는데 그리고 그것 정광 훈 목사 교회 유독 터진다는데 이 걸 그대로 믿는 사람 들 그냥 개돼지 맞는듯	FALSE
코로나 교도소 하나 지정 해서 다 넣어 버려	FALSE
너무 비교 됨 상식 것 존재 하지 않는 사람 들 싶어요 저 사람 들 뿐 아니라 누구 경계 늦추지 진짜 조심했으면 좋겠습니다 ㅠ	FALSE
미국 대유행 된다고 생각 하면 끔찍하다 ㅠㅠㅠㅠㅠ	FALSE
진짜 달에는 일상생활 된다고 얘기 나오니 그런건데 지금 다 방역 수칙 아는 상태 이따위 면 생각 있는거냐고 게다가 확 진자 이탈 나오는 일 정말 황당했다 어휴	FALSE
ㅠㅠㅠㅠㅠ 다른 사람 들 생각 해주길 함께 사는 세상 ㅠ	FALSE
민폐 진짜 자기 들 삶 있는줄 아 나 다른 사람 들 피해 끼치지 말아야지	FALSE
협조 안 뭐 세상 자기 혼자 사는거야	FALSE
이제 괜찮아지는 줄 알았는데 이	FALSE
진짜 교회 들 다 폐쇄 시켜 야한다고 생각 함	FALSE
굳이 모 예배 해야 되냐 지금	FALSE
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 생각 없는 사람 그 와중 예배 나가는 사람 들 진짜 생각 도 없는거 임 빨리 싹 다 조사 구속 하자	FALSE
마스크 제발 좀 철저하게 하고 다니세요 들 아니 무슨 마스크 왜 안 써 왜	FALSE
진짜 전광훈 미친 건가 싶을 정도 오 바다 어떻게 저럴 수 있는거지	FALSE
진짜 심각합니다 제발 검사 받으세요 ㅠㅠ	FALSE
비교 안되지 ㅡㅡ 이번 사태 코로나 전파 력 심각 성 알고도 집회 한거잖아	FALSE
도망 검사 안 받는다는 게 어이 없어서 신천지 환자 도망쳤다는 건 가짜 뉴스 떠서 그래 상식 있음 인간 그러겠냐 했는데 얘 네 리얼 탈주 와	FALSE
교회 문제 분명 있다 그러나 근본 적 방역 대한 시늉 만 공 정부 돌리고 실 국민 돌리는 정부 문 젠 없다고 보는 건가 지금 우한 부터 입국 문 열어놨고 앞 더 문제 봄	FALSE
